ID	Name	_CATEGORY	UiID	Genre	SubType	DetailType	Quality	Price	BindType	MaxExistTime	MaxExistAmount	MaxDurability	CanStack	CanConsume	CanTrade	CanDestroy	ScriptName	SkillID	SkillLevel	_LEVEL	CoolDownID	RequireLevel	RequireProfessionID	RequireProfessionBranch	RequireProfessionLevel	RequireGender	CanUseOnHorse	CanUseInFight	CanGoodCampUse	CanEvilCampUse	CanNeutralCampUse	AucGenre	AucSubType	RequireForce	RequireCamp	TargetType	Prefix	Postfix	EnchantID	BoxID	ExistType	MapBanUseItemMask	IgnoreBindMask	BelongForceMask
0	默认	默认分类	0	3	0	0	0	0	1	0	0	1	1	0	1	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1	20	2	0	7	0			0	0	0	3	0	65013759
2	纸盒子	测试用	1733	3	0	0	0	0		0	0	1	0	0	1	1		0	0	0																								
3	默认	默认分类	0	3	0	0	0	0	1	0	0	1	1	0	1	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1													
4	默认	默认分类	0	3	0	0	0	0	1	0	0	1	1	0	1	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1													
5	默认	默认分类	0	3	0	0	0	0	1	0	0	1	1	0	1	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1													
6	战鼓	万花	2756	2	0	0	1	0	3	0	1	1	0	0	0	1	scripts\Map\万花\item\战鼓.lua	0	0	0																								
7	捕蛇工具	扬州	2965	2	0	0	2	0	3	0	1	1	0	0	0	1	scripts\Map\扬州\item\捕蛇道具.lua	0	0	0																								
8	战旗	昆仑	14537	2	0	0	1	0	3	0	1	1	1	0	0	1	scripts\Map\昆仑\item\战旗.lua	0	0	0	0	0	0	0	0	0	0	0	1	1	1													
10	如来神掌	扬州	2966	3	0	0	6	0	1	0	1	1	1	0	0	1		0	0	0																								
11	降龙十九掌	扬州	2967	3	0	0	6	0	1	0	1	1	1	0	0	1		0	0	0																								
12	睡梦罗汉腿	扬州	2968	3	0	0	6	0	1	0	1	1	1	0	0	1		0	0	0																								
13	九阴真经	扬州	2969	3	0	0	0	0	1	0	1	1	1	0	0	1		0	0	0																								
14	独孤九鞭	扬州	2970	3	0	0	6	0	1	0	1	1	1	0	0	1		0	0	0																								
15	无敌风火轮	扬州	2971	3	0	0	6	0	1	0	1	1	1	0	0	1		0	0	0																								
16	铁蒺藜	新手村	2972	3	0	0	2	1	3	0	100	100	1	1	1	1		5	1	0																								
17	石灰粉	新手村	2973	3	0	0	2	1	3	0	100	100	1	1	1	1		6	1	0																								
18	玉真茶	纯阳	3011	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0																								
19	李元济手书	纯阳	3012	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0																								
20	一缸鱼油	昆仑	14538	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1													
21	圣火炬	洛道	3082	2	0	0	1	0	3	0	0	20	1	1	0	1		0	0	0																								
22	圣火炬	洛道	3083	2	0	0	1	0	3	0	0	20	1	1	0	1		0	0	0																								
23	小罐鱼油	昆仑	14539	2	0	0	1	0	3	0	5	5	1	1	0	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1													
24	火种	昆仑	14540	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1													
25	冰块	昆仑	14541	2	0	0	1	0	3	0	8	8	1	1	0	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1													
26	衣冠	昆仑	14542	2	0	0	1	0	3	0	8	8	1	1	0	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1													
27	沉香木鱼	昆仑	14543	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0											
28	狼皮大衣	昆仑	14544	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0											
29	肥硕的鱼	昆仑	14545	2	0	0	1	0	3	0	20	20	1	1	0	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0											
30	欲仙丸	昆仑	14546	2	0	0	1	0	3	0	7	7	1	1	0	1	scripts\Map\昆仑\item\欲仙丸.lua	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0											
31	模糊的诗词	寇岛	3014	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																								
32	幽冥草	昆仑	14547	2	0	0	1	0	3	0	8	8	1	1	0	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0											
33	新建商店道具	默认分类	3090	3	0	0	1	0	1	0	0	1	1	0	1	1		0	0	0																								
34	白龙参	昆仑	14548	2	0	0	1	0	3	0	6	6	1	1	0	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0											
35	狐血	昆仑	14549	2	0	0	1	0	3	0	6	6	1	1	0	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0											
36	补药	昆仑	14550	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0											
37	熬好的补药	昆仑	14551	2	0	0	1	0	3	0	1	1	1	0	0	1	scripts\Map\昆仑\item\熬好的补药.lua	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0											
38	锦囊	昆仑	14552	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0											
39	古琴	昆仑	14553	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0											
40	雪灵芝	昆仑	14554	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0											
41	离花散	昆仑	14555	2	0	0	1	0	3	0	5	5	1	1	0	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0											
42	遗书	昆仑	14556	2	0	0	1	0	3	0	8	8	1	1	0	1	scripts\Map\昆仑\item\遗书.lua	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0											
43	竹枝	昆仑	14557	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0											
44	碧螺春	昆仑	14558	2	0	0	1	0	3	0	1	1	1	0	0	1	scripts\Map\昆仑\item\碧螺春.lua	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0											
45	昆仑派掌门之信	昆仑	14559	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0											
46	千针草	昆仑	14560	2	0	0	1	0	3	0	5	5	1	1	0	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0											
47	治伤之药	昆仑	14561	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0											
48	千年冰魄	昆仑	14562	2	0	0	1	0	3	0	6	6	1	1	0	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0											
49	漓草	昆仑	14563	2	0	0	1	0	3	0	8	8	1	1	0	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0											
50	天石	昆仑	14564	2	0	0	1	0	3	0	8	8	1	1	0	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0											
51	燃烧的火把	寇岛	3123	2	0	0	1	0	3	0	1		1	1	0	1		0	0	0																								
52	无血花	洛道	3124	2	0	0	1	0	3	0	0	20	1	1	0	1		0	0	0																								
53	碧玉茯苓	纯阳	3125	2	0	0	1	0	3	0	5	5	1	1	0	1	scripts\Map\纯阳\item\碧玉茯苓.lua	107	2	0																								
54	心愿	寇岛	3127	2	0	0	2	0	3	0	0	1	1	0	0	1		0	0	0																								
55	海图之一	寇岛	1847	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0																								
56	海图之二	寇岛	1848	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0																								
57	海图之三	寇岛	3128	2	0	0	1	0	3	0	1	1		0	0	1	scripts\Map\寇岛\item\海图之三.lua	0	0	0																								
58	海图之四	寇岛	1866	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0																								
59	燕笛	昆仑	14565	2	0	0	1	0	3	0	1	1	1	0	0	1	scripts\Map\昆仑\item\燕笛.lua	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0											
60	火蛇果	寇岛	3130	2	0	0	1	0	3	0	1		1	0	0	1		0	0	0																								
61	毒蝎尾	寇岛	3131	2	0	0	1	0	3	0	3	3	1	1	0	1		0	0	0																								
62	皮毛	昆仑	14567	2	0	0	1	10	3	0	20	20	1	1		1		0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0											
63	稀奇的草药	寇岛	3133	2	0	0	1	0	3	0	6	6	1	1	0	1		0	0	0																								
64	蜈蚣	寇岛	3134	2	0	0	1	0	3	0	3	3	1	1	0	1		0	0	0																								
65	八岐神酒	寇岛	3135	2	0	0	1	0	3	0	1	1	1	0	0	1	scripts\Map\寇岛\item\八歧神酒.lua	0	0	0								1																
66	毒尸的血液	洛道	3136	2	0	0	1	0	3	0	0	20	1	1	0	1		0	0	0																								
67	夜招魂	洛道	3137	2	0	0	1	0	3	0	0	20	1	1	0	1		0	0	0																								
68	空瓶	洛道	3138	2	0	0	1	0	3	0	0	20	1	1	0	1		0	0	0																								
69	神策士兵的武器	洛道	3139	2	0	0	1	0	3	0	0	30	1	1	0	1		0	0	0																								
70	木柴	昆仑	14568	2	0	0	1	0	3	0	6	6	1	1	0	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0											
71	经书	寇岛	3141	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0																								
72	奇怪的纸页	寇岛	3142	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																								
73	模糊的图样	寇岛	3143	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																								
74	散落的纸页	寇岛	3144	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																								
75	破旧的信纸	寇岛	3145	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																								
76	残破的纸页	寇岛	3146	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																								
77	奇怪的诗词	寇岛	3147	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																								
78	奇怪的话语	寇岛	3148	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																								
79	古怪的诗词	寇岛	3149	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																								
80	陈旧的纸张	寇岛	3150	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																								
81	古怪的话语	寇岛	3151	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																								
82	古老的诗词	寇岛	3152	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																								
83	古老的话语	寇岛	3153	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																								
84	陈旧的纸页	寇岛	3154	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																								
85	藏宝图十四	寇岛	3155	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																								
86	藏宝图十五	寇岛	3156	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																								
87	奇异的诗词	寇岛	3157	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																								
88	丢失的纸页	寇岛	3158	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																								
89	神奇的日记	寇岛	3159	2	0	0	2	0	3	0	1	1	1	0	0	1	scripts\Map\金水镇\item\神奇的日记.lua	0	0	0																								
90	残破的纸张	寇岛	3160	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																								
91	简短的诗词	寇岛	3161	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																								
92	工整的诗词	寇岛	3162	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																								
93	神奇的谜语	寇岛	3163	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																								
94	失落的纸张	寇岛	3164	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																								
95	丢失的纸页	寇岛	3165	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																								
96	腰牌	寇岛	3166	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0																								
97	简短的话语	寇岛	3167	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																								
98	凄美的诗词	寇岛	3168	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																								
99	荣恩令	声望道具	14569	2	0	0	0	20000	3	0	0	100	1	1	1	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0											
100	红木礼盒	洛道	3169	2	0	0	1	4	3	0	0	1	1	0	0	1		0	0	0																								
101	被夺的粮草	昆仑	14570	2	0	0	1	0	3	0	1		1	0	0	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0											
102	狼毫	默认分类	61	3	0	0	1	4	1	0	0	20	1	1	1	1		0	0	0																								
103	兔毫	默认分类	62	3	0	0	1	150	1	0	0	20	1	1	1	1		0	0	0																								
104	伤药	昆仑	14571	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0											
105	木子花	昆仑	14572	2	0	0	1	0	3	0	8	8	1	1	0	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0											
106	千年蚕冰	日轮山城	14573	2	0	0	1	0	3	0	0	1	1	0	0	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0											
107	忘忧草	默认分类	304	3	0	0	1	95	1	0	0	20	1	1	1	1		0	0	0																								
108	根雕	默认分类	305	3	0	0	1	224	1	0	0	20	1	1	1	1		0	0	0																								
109	破裂的棋子碎片	天子峰	14575	3	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0											
110	白棋	天子峰	14576	3	0	0	1	0	3	0	1	1	1	0	0	1	scripts\Map\天子峰\item\白棋.lua	0	0	0	146	0	0	0	0	0	1	1	1	1	1	0	0											
111	鱼根草	日轮山城	14577	2	0	0	1	0	3	0	3	3	1	1	0	1		0	0	10	0	0	0	0	0	0	0	0	1	1	1	0	0											
112	毒水	昆仑	14578	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0											
113	猿肉	默认分类	310	3	0	0	1	4	1	0	0	20	1	1	1	1		0	0	0																								
114	猿脑	默认分类	311	3	0	0	1	111	1	0	0	10	1	1	1	1		0	0	0																								
115	鹿肉	默认分类	312	3	0	0	1	5	1	0	0	20	1	1	1	1		0	0	0																								
116	鹿筋	默认分类	313	3	0	0	1	5	1	0	0	20	1	1	1	1		0	0	0																								
117	鹿皮	默认分类	314	3	0	0	1	131	1	0	0	10	1	1	1	1		0	0	0																								
118	野狼心	默认分类	315	3	0	0	1	238	1	0	0	20	1	1	1	1		0	0	0																								
119	野狼肉	默认分类	316	3	0	0	1	5	1	0	0	20	1	1	1	1		0	0	0																								
120	恶狼皮	默认分类	317	3	0	0	1	0	1	0	0	10	1	1	1	1		0	0	0																								
121	幼狼毫	默认分类	318	3	0	0		23	1	0	0	10	1	1	1	1		0	0	0																								
122	硬龟壳	默认分类	319	3	0	0	1	5	1	0	0	20	1	1	1	1		0	0	0																								
123	龟掌肉	默认分类	320	3	0	0	1	5	1	0	0	10	1	1	1	1		0	0	0																								
124	猴肉	默认分类	369	3	0	0	1	5	1	0	0	20	1	1	1	1		0	0	0																								
125	猴皮	默认分类	370	3	0	0	1	5	1	0	0	10	1	1	1	1		0	0	0																								
126	蛛毒	默认分类	1709	3	0	0	1	5	1	0	0	10	1	1	1	1		0	0	0																								
127	蛛卵	默认分类	1710	3	0	0	1	5	1	0	0	10	1	1	1	1		0	0	0																								
128	蛛丝	默认分类	1711	3	0	0	1	5	1	0	0	10	1	1	1	1		0	0	0																								
